Tanggal,Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
02/06/2022 ,"15,303","1,234,723",830,182,"1,251,038","1,012",0,157,7,-6,158,1
03/06/2022 ,"15,303","1,234,863",850,195,"1,251,211","1,045",0,140,20,13,173,33
04/06/2022 ,"15,303","1,234,976",913,192,"1,251,384","1,105",0,113,63,-3,173,60
05/06/2022 ,"15,303","1,235,069","1,011",196,"1,251,579","1,207",0,93,98,4,195,102
06/06/2022 ,"15,303","1,235,172","1,064",187,"1,251,726","1,251",0,103,53,-9,147,44
07/06/2022 ,"15,303","1,235,274","1,222",187,"1,251,986","1,409",0,102,158,0,260,158
08/06/2022 ,"15,303","1,235,370","1,417",184,"1,252,274","1,601",0,96,195,-3,288,192
09/06/2022 ,"15,303","1,235,508","1,548",191,"1,252,550","1,739",0,138,131,7,276,138
10/06/2022 ,"15,303","1,235,666","1,715",199,"1,252,883","1,914",0,158,167,8,333,175
11/06/2022 ,"15,303","1,235,838","1,852",204,"1,253,197","2,056",0,172,137,5,314,142
12/06/2022 ,"15,303","1,236,002","2,000",214,"1,253,519","2,214",0,164,148,10,322,158
13/06/2022 ,"15,304","1,236,184","2,179",200,"1,253,867","2,379",1,182,179,-14,348,165
14/06/2022 ,"15,304","1,236,374","2,446",260,"1,254,384","2,706",0,190,267,60,517,327
15/06/2022 ,"15,304","1,236,528","2,980",302,"1,255,114","3,282",0,154,534,42,730,576
16/06/2022 ,"15,305","1,236,820","3,346",339,"1,255,810","3,685",1,292,366,37,696,403
17/06/2022 ,"15,305","1,237,109","3,712",370,"1,256,496","4,082",0,289,366,31,686,397
18/06/2022 ,"15,305","1,237,400","4,122",402,"1,257,229","4,524",0,291,410,32,733,442
19/06/2022 ,"15,308","1,237,676","4,543",437,"1,257,964","4,980",3,276,421,35,735,456
20/06/2022 ,"15,309","1,238,059","4,844",453,"1,258,665","5,297",1,383,301,16,701,317
21/06/2022 ,"15,311","1,238,392","5,420",495,"1,259,618","5,915",2,333,576,42,953,618
22/06/2022 ,"15,311","1,238,754","6,276",503,"1,260,844","6,779",0,362,856,8,"1,226",864
23/06/2022 ,"15,311","1,239,359","6,714",514,"1,261,898","7,228",0,605,438,11,"1,054",449
24/06/2022 ,"15,313","1,240,028","7,301",522,"1,263,164","7,823",2,669,587,8,"1,266",595
25/06/2022 ,"15,313","1,240,738","7,596",562,"1,264,209","8,158",0,710,295,40,"1,045",335
26/06/2022 ,"15,313","1,241,429","7,931",591,"1,265,264","8,522",0,691,335,29,"1,055",364
27/06/2022 ,"15,313","1,242,286","7,901",602,"1,266,102","8,503",0,857,-30,11,838,-19
28/06/2022 ,"15,314","1,243,032","8,375",631,"1,267,352","9,006",1,746,474,29,"1,250",503
29/06/2022 ,"15,314","1,243,738","8,801",633,"1,268,486","9,434",0,706,426,2,"1,134",428
30/06/2022 ,"15,315","1,244,833","8,926",667,"1,269,741","9,593",1,"1,095",125,34,"1,255",159
01/07/2022 ,"15,316","1,245,980","8,829",716,"1,270,841","9,545",1,"1,147",-97,49,"1,100",-48
02/07/2022 ,"15,317","1,247,144","8,675",688,"1,271,824","9,363",1,"1,164",-154,-28,983,-182
03/07/2022 ,"15,320","1,248,357","8,333",745,"1,272,755","9,078",3,"1,213",-342,57,931,-285
04/07/2022 ,"15,323","1,249,496","7,937",736,"1,273,492","8,673",3,"1,139",-396,-9,737,-405
05/07/2022 ,"15,325","1,250,388","8,267",788,"1,274,768","9,055",2,892,330,52,"1,276",382
06/07/2022 ,"15,327","1,251,237","8,946",774,"1,276,284","9,720",2,849,679,-14,"1,516",665
07/07/2022 ,"15,329","1,252,398","9,220",813,"1,277,760","10,033",2,"1,161",274,39,"1,476",313
