Tanggal,Target Vaksinasi,Vaksinasi 1,Vaksinasi 2,Persentase 1,Persentase 2
5 March 2021,3000689,281997,91078,0.0939774165200059,0.0303523624074338
6 March 2021,3000689,289951,91379,0.0966281410702675,0.0304526727028359
7 March 2021,3000689,334506,93974,0.111476397587354,0.0313174740867847
8 March 2021,3000689,361710,96978,0.120542315448219,0.0323185775000342
9 March 2021,3000689,423139,119854,0.141013947130142,0.039942159950598
10 March 2021,3000689,473494,109554,0.157795093060294,0.0365096149584312
11 March 2021,3000689,483492,109699,0.161126994500263,0.0365579371937578
12 March 2021,3000689,519575,113038,0.173151899447094,0.0376706816334515
13 March 2021,3000689,537965,114464,0.17928049191369,0.0381459058236292
14 March 2021,3000689,550088,114621,0.183320564043791,0.0381982271405001
15 March 2021,3000689,599696,124070,0.199852767147812,0.0413471705998189
16 March 2021,3000689,647957,139204,0.215936073348488,0.0463906789407366
17 March 2021,3000689,692365,159736,0.230735341116657,0.053233107462986
18 March 2021,3000689,734359,184432,0.244730126980837,0.0614632172810978
19 March 2021,3000689,810602,199342,0.270138624829164,0.0664320760998557
20 March 2021,3000689,824569,203266,0.274793222489901,0.0677397757648327
21 March 2021,3000689,846439,204295,0.282081548604337,0.068082697007254
22 March 2021,3000689,879229,228255,0.29300903892406,0.0760675298239838
23 March 2021,3000689,925387,258405,0.308391506084103,0.0861152222039672
24 March 2021,3000689,997730,294083,0.332500302430542,0.0980051581486785
25 March 2021,3000689,1046483,311135,0.348747570974533,0.103687853023089
26 March 2021,3000689,1092686,343272,0.364145034690366,0.114397726655445
27 March 2021,3000689,1121735,351121,0.373825811338663,0.117013459242194
28 March 2021,3000689,1140388,353105,0.380042050342438,0.11767464072418
29 March 2021,3000689,1178243,388065,0.392657486330639,0.129325298289826
30 March 2021,3000689,1220617,425325,0.406778909777055,0.141742446484791
31 March 2021,3000689,1267378,458982,0.422362330784696,0.152958870446088
1 April 2021,3000689,1301379,485734,0.433693395083596,0.161874156235451
2 April 2021,3000689,1325622,490215,0.441772539573411,0.163367479935441
3 April 2021,3000689,1339471,494227,0.446387812932297,0.16470450619841
4 April 2021,3000689,1352341,498076,0.450676827888528,0.165987211603735
5 April 2021,3000689,1387188,546103,0.462289827436299,0.181992535714298
6 April 2021,3000689,1415143,580965,0.471606021150476,0.193610534113998
7 April 2021,3000689,1436663,619311,0.478777707386537,0.20638959918872
8 April 2021,3000689,1475689,644297,0.4917833870821,0.214716353477485
9 April 2021,3000689,1506706,677132,0.502120013103657,0.225658840352999
10 April 2021,3000689,1528219,687612,0.509289366542151,0.22915137156833
11 April 2021,3000689,1537387,697480,0.512344664841975,0.232439949624903
12 April 2021,3000689,1569019,728994,0.522886243792676,0.242942204273752
13 April 2021,3000689,1584064,749172,0.527900092278807,0.249666659890445
14 April 2021,3000689,1598341,783181,0.532657999546104,0.261000390243707
15 April 2021,3000689,1615457,813687,0.538362022855418,0.271166722042837
16 April 2021,3000689,1633447,840544,0.544357312603872,0.280116999795714
17 April 2021,3000689,1641932,849048,0.547184996512468,0.282951015583421
18 April 2021,3000689,1646295,857137,0.548638995910606,0.285646729801056
19 April 2021,3000689,1668563,894069,0.556059958229593,0.297954569767143
20 April 2021,3000689,1687399,911103,0.562337183226919,0.303631266019238
21 April 2021,3000689,1708066,943905,0.569224601416541,0.314562755420505
22 April 2021,3000689,1746457,995717,0.582018663047054,0.33182945650149
23 April 2021,3000689,1770866,1028239,0.590153128164898,0.342667634000058
24 April 2021,3000689,1784510,1046274,0.594700083880735,0.348677920304303
25 April 2021,3000689,1796387,1059589,0.598658174839179,0.353115234534469
26 April 2021,3000689,1822711,1104607,0.60743082672013,0.368117788947805
27 April 2021,3000689,1850474,1242486,0.616683035129599,0.414066902634695
28 April 2021,3000689,1878269,1182862,0.625945907756519,0.394196799468389
29 April 2021,3000689,1906096,1214492,0.63521944460089,0.404737711905499
30 April 2021,3000689,1935049,1231269,0.644868228596832,0.410328761161187
1 May 2021,3000689,1943646,1245192,0.647733237266508,0.414968695522928
2 May 2021,3000689,1947986,1256966,0.649179571758353,0.41889246103145
3 May 2021,3000689,1968563,1287033,0.656036996836393,0.428912493097419
4 May 2021,3000689,1994275,1313679,0.664605695558587,0.437792453666475
5 May 2021,3000689,2027200,1339261,0.675578175545683,0.446317829005272
6 May 2021,3000689,2064779,1366690,0.688101632658366,0.455458729645091
7 May 2021,3000689,2099049,1395186,0.699522343035216,0.464955215285556
8 May 2021,3000689,2117046,1405753,0.705519965581238,0.468476739842083
9 May 2021,3000689,2126998,1415570,0.708836537208621,0.471748321802093
10 May 2021,3000689,2158740,1445880,0.719414774406811,0.481849335269333
11 May 2021,3000689,2183820,1461820,0.72777285483434,0.487161448587308
12 May 2021,3000689,2188152,1469582,0.729216523271822,0.489748187832861
13 May 2021,3000689,2188367,1469783,0.729288173482823,0.489815172448728
14 May 2021,3000689,2188619,1470037,0.729372154195253,0.489899819674748
15 May 2021,3000689,2191387,1477896,0.730294609004799,0.492518884829451
16 May 2021,3000689,2195927,1483715,0.731807594855715,0.494458106121627
17 May 2021,3000689,2205537,1510084,0.735010192659086,0.50324575455837
18 May 2021,3000689,2223752,1540685,0.741080465186495,0.513443745753059
19 May 2021,3000689,2247986,1566783,0.749156610365153,0.52214108159826
20 May 2021,3000689,2275325,1599233,0.758267517893391,0.532955264607562
21 May 2021,3000689,2302898,1627315,0.767456407511742,0.542313781934749
